조회일자,품목코드,품목명,평년비율,전일비율,품종코드,도매일일가격,도매순가격,도매전일가격,도매전순가격,도매전년순가격,도매평년순가격,도매일일위기단계명,도매일일작형연속위기횟수,도매일일작형위기단계코드,도매순위기단계명,도매순작형위기단계코드,도매순작형연속위기횟수,도매월위기단계명,도매월작형위기단계코드,도매전일자,도매전순월,도매전순명,도매순월,도매순명,도매일자,소매일일가격,소매순가격,소매전일가격,소매전순가격,소매전년순가격,소매평년순가격,소매전일자,소매전순월,소매전순명,소매순월,소매전순월,소매일자
2020-12-26,1209,마늘,-13.321,0,1209,4854,4861.5,4854,4914,3320,5600,,0,,,,0,,,2020-12-23,12,중순,12,하순,2020-12-24,0,0,0,0,0,0,2020-12-23,,,,,2020-12-24
2020-12-26,1201,양파,46.578,0.697,1201,1435,1420,1425,1290,784,979,상승주의,3,5,안정,4,1,상승주의,5,2020-12-25,12,중순,12,하순,2020-12-26,2384,2415,2432,2439,1487.643,1857,2020-12-23,12,중순,12,하순,2020-12-24
2020-12-26,1202,대파,7.541,5.017,1202,1754,1783,1666,1912,1406,1631,안정,6,4,안정,4,1,안정,4,2020-12-25,12,중순,12,하순,2020-12-26,5031,5204,5198,4990,4374.878,4353,2020-12-23,12,중순,12,하순,2020-12-24
2020-12-27,1001,배추,-44.378,5.669,1001,1123,1124.333,1059.333,1254,2940,2019,하락심각,5,1,하락심각,1,1,하락경계,2,2020-12-25,12,중순,12,하순,2020-12-26,2740,2796,2722,2895,4530.317,3278,2020-12-23,12,중순,12,하순,2020-12-24
2020-12-27,1101,무,7.63,6.08,1101,1467,1411.2,1377.8,1198,2414.6,1363,상승주의,3,5,상승주의,5,1,상승주의,5,2020-12-25,12,중순,12,하순,2020-12-26,1839,1866,1833,1796,3042.488,2031,2020-12-23,12,중순,12,하순,2020-12-24
2020-12-27,1207,건고추,55.164,0,1207,15656,15563,15656,15956,8596.66,10090,상승심각,91,7,상승심각,7,1,상승심각,7,2020-12-23,12,중순,12,하순,2020-12-24,21656,21656,21656,21656,12322.222,13400,2020-12-23,12,중순,12,하순,2020-12-24
2020-12-27,1209,마늘,6.647,0,12A9,6883.35,6883.35,6883.35,6883,4048.6,6454,상승주의,77,5,상승주의,5,1,상승주의,5,2020-12-23,12,중순,12,하순,2020-12-24,9600,9753,9600,9884,7284.259,9518,2020-12-23,12,중순,12,하순,2020-12-24
2020-12-27,1209,마늘,-13.321,0,1209,4854,4861.5,4854,4914,3320,5600,,0,,,,0,,,2020-12-23,12,중순,12,하순,2020-12-24,0,0,0,0,0,0,2020-12-23,,,,,2020-12-24
2020-12-27,1201,양파,46.578,0.697,1201,1435,1420,1425,1290,784,979,상승주의,3,5,안정,4,1,상승주의,5,2020-12-25,12,중순,12,하순,2020-12-26,2384,2415,2432,2439,1487.643,1857,2020-12-23,12,중순,12,하순,2020-12-24
2020-12-27,1202,대파,7.541,5.017,1202,1754,1783,1666,1912,1406,1631,안정,6,4,안정,4,1,안정,4,2020-12-25,12,중순,12,하순,2020-12-26,5031,5204,5198,4990,4374.878,4353,2020-12-23,12,중순,12,하순,2020-12-24
2020-12-28,1001,배추,-38.138,10.112,1001,1249.333,1124.333,1123,1254,2940,2019,하락경계,1,2,하락심각,1,1,하락경계,2,2020-12-26,12,중순,12,하순,2020-12-28,2755,2796,2740,2895,4530.317,3278,2020-12-24,12,중순,12,하순,2020-12-28
2020-12-28,1101,무,-1.101,-8.828,1101,1348,1411.2,1467,1198,2414.6,1363,상승주의,4,5,상승주의,5,1,상승주의,5,2020-12-26,12,중순,12,하순,2020-12-28,1882,1866,1839,1796,3042.488,2031,2020-12-24,12,중순,12,하순,2020-12-28
2020-12-28,1207,건고추,55.164,0,1207,15656,15563,15656,15956,8596.66,10090,상승심각,91,7,상승심각,7,1,상승심각,7,2020-12-23,12,중순,12,하순,2020-12-24,21656,21656,21656,21656,12322.222,13400,2020-12-23,12,중순,12,하순,2020-12-24
2020-12-28,1209,마늘,6.647,0,12A9,6883.35,6883.35,6883.35,6883,4048.6,6454,상승주의,77,5,상승주의,5,1,상승주의,5,2020-12-23,12,중순,12,하순,2020-12-24,9600,9753,9600,9884,7284.259,9518,2020-12-23,12,중순,12,하순,2020-12-24
2020-12-28,1209,마늘,-13.321,0,1209,4854,4861.5,4854,4914,3320,5600,,0,,,,0,,,2020-12-23,12,중순,12,하순,2020-12-24,0,0,0,0,0,0,2020-12-23,,,,,2020-12-24
2020-07-10,1209,마늘,-28.257,0.794,12A9,4504.3,4424.8,4468.55,4270,4520.85,6278,하락주의,29,3,하락주의,3,1,하락주의,3,2020-07-08,6,하순,7,상순,2020-07-09,7058,7209.639,7255,7029,8807.861,9284,2020-07-08,6,하순,7,상순,2020-07-09
2020-07-10,1209,마늘,-46.046,0,1209,2995,2945,2995,2786,4165,5551,,0,,,,0,,,2020-07-08,6,하순,7,상순,2020-07-09,0,0,0,0,0,0,2020-07-08,,,,,2020-07-09
2020-07-10,1201,양파,-18.618,9.496,1201,695,664,629,774,390,854,하락경계,1,2,하락경계,2,1,하락심각,1,2020-07-09,6,하순,7,상순,2020-07-10,1969,1977.908,1990,2068,1396.211,1642,2020-07-09,6,하순,7,상순,2020-07-10
2020-07-10,1202,대파,1.485,-1.812,1202,1435,1448,1461,1555,1562,1414,하락심각,61,1,하락심각,1,1,하락심각,1,2020-07-09,6,하순,7,상순,2020-07-10,3766,3787.691,3831,3897,4222.689,4136,2020-07-09,6,하순,7,상순,2020-07-10
2020-07-11,1001,배추,105.953,32.63,1001,4773.667,3745.333,3216,2632,2031.333,2318,상승경계,1,6,상승주의,5,1,상승경계,6,2020-07-10,7,상순,7,중순,2020-07-11,4086,4777.098,4086,4137,3174.366,3241,2020-07-09,7,상순,7,중순,2020-07-10
2020-07-11,1101,무,-0.596,13.904,1101,1168,1174.6,1005.6,1151,893,1175,안정,3,4,안정,4,1,안정,4,2020-07-10,7,상순,7,중순,2020-07-11,1868,1920.559,1893,1883,1617.711,1903,2020-07-09,7,상순,7,중순,2020-07-10
2020-07-11,1207,건고추,2.561,0,1207,9012,9038.66,9012,9032,11212,8787,안정,30,4,안정,4,1,안정,4,2020-07-09,7,상순,7,중순,2020-07-10,12807,12807.143,12807,12776,16733.613,12553,2020-07-09,7,상순,7,중순,2020-07-10
2020-07-11,1209,마늘,-28.903,0,12A9,4504.3,5380.55,4504.3,4425,4188.1,6335,하락주의,30,3,하락주의,3,1,하락주의,3,2020-07-09,7,상순,7,중순,2020-07-10,7133,7447.046,7058,7210,7942.054,9277,2020-07-09,7,상순,7,중순,2020-07-10
2020-07-11,1209,마늘,-45.713,0,1209,2995,3163.8,2995,2945,3888.6,5517,,0,,,,0,,,2020-07-09,7,상순,7,중순,2020-07-10,0,0,0,0,0,0,2020-07-09,,,,,2020-07-10
2020-07-11,1201,양파,-19.114,-0.144,1201,694,797,695,664,413,858,하락경계,2,2,하락주의,3,1,하락주의,3,2020-07-10,7,상순,7,중순,2020-07-11,1969,1989,1990,1978,1334.603,1671,2020-07-09,7,상순,7,중순,2020-07-10
2020-07-11,1202,대파,22.132,13.03,1202,1650,1758,1435,1448,1564,1351,하락심각,62,1,하락심각,1,1,하락심각,1,2020-07-10,7,상순,7,중순,2020-07-11,3766,3747.717,3831,3788,4471.218,4169,2020-07-09,7,상순,7,중순,2020-07-10
2020-07-12,1001,배추,105.953,32.63,1001,4773.667,3745.333,3216,2632,2031.333,2318,상승경계,1,6,상승주의,5,1,상승경계,6,2020-07-10,7,상순,7,중순,2020-07-11,4086,4777.098,4086,4137,3174.366,3241,2020-07-09,7,상순,7,중순,2020-07-10
2020-07-12,1101,무,-0.596,13.904,1101,1168,1174.6,1005.6,1151,893,1175,안정,3,4,안정,4,1,안정,4,2020-07-10,7,상순,7,중순,2020-07-11,1868,1920.559,1893,1883,1617.711,1903,2020-07-09,7,상순,7,중순,2020-07-10
2020-07-12,1207,건고추,2.561,0,1207,9012,9038.66,9012,9032,11212,8787,안정,30,4,안정,4,1,안정,4,2020-07-09,7,상순,7,중순,2020-07-10,12807,12807.143,12807,12776,16733.613,12553,2020-07-09,7,상순,7,중순,2020-07-10
2020-07-12,1209,마늘,-28.903,0,12A9,4504.3,5380.55,4504.3,4425,4188.1,6335,하락주의,30,3,하락주의,3,1,하락주의,3,2020-07-09,7,상순,7,중순,2020-07-10,7133,7447.046,7058,7210,7942.054,9277,2020-07-09,7,상순,7,중순,2020-07-10
2020-07-12,1209,마늘,-45.713,0,1209,2995,3163.8,2995,2945,3888.6,5517,,0,,,,0,,,2020-07-09,7,상순,7,중순,2020-07-10,0,0,0,0,0,0,2020-07-09,,,,,2020-07-10
2020-07-12,1201,양파,-19.114,-0.144,1201,694,797,695,664,413,858,하락경계,2,2,하락주의,3,1,하락주의,3,2020-07-10,7,상순,7,중순,2020-07-11,1969,1989,1990,1978,1334.603,1671,2020-07-09,7,상순,7,중순,2020-07-10
2020-07-12,1202,대파,22.132,13.03,1202,1650,1758,1435,1448,1564,1351,하락심각,62,1,하락심각,1,1,하락심각,1,2020-07-10,7,상순,7,중순,2020-07-11,3766,3747.717,3831,3788,4471.218,4169,2020-07-09,7,상순,7,중순,2020-07-10
2020-07-13,1001,배추,43.011,-43.988,1001,3315.333,3745.333,4773.667,2632,2031.333,2318,상승주의,1,5,상승주의,5,1,상승경계,6,2020-07-11,7,상순,7,중순,2020-07-13,4238,4777.098,4086,4137,3174.366,3241,2020-07-10,7,상순,7,중순,2020-07-13
2020-07-13,1101,무,15.915,14.25,1101,1362.1,1174.6,1168,1151,893,1175,상승주의,1,5,안정,4,1,안정,4,2020-07-11,7,상순,7,중순,2020-07-13,1895,1920.559,1868,1883,1617.711,1903,2020-07-10,7,상순,7,중순,2020-07-13
2020-07-13,1207,건고추,2.561,0,1207,9012,9038.66,9012,9032,11212,8787,안정,30,4,안정,4,1,안정,4,2020-07-09,7,상순,7,중순,2020-07-10,12807,12807.143,12807,12776,16733.613,12553,2020-07-09,7,상순,7,중순,2020-07-10
2020-07-13,1209,마늘,-28.903,0,12A9,4504.3,5380.55,4504.3,4425,4188.1,6335,하락주의,30,3,하락주의,3,1,하락주의,3,2020-07-09,7,상순,7,중순,2020-07-10,7133,7447.046,7058,7210,7942.054,9277,2020-07-09,7,상순,7,중순,2020-07-10
2020-07-13,1209,마늘,-45.713,0,1209,2995,3163.8,2995,2945,3888.6,5517,,0,,,,0,,,2020-07-09,7,상순,7,중순,2020-07-10,0,0,0,0,0,0,2020-07-09,,,,,2020-07-10
2020-07-13,1201,양파,-15.268,4.539,1201,727,797,694,664,413,858,하락주의,1,3,하락주의,3,1,하락주의,3,2020-07-11,7,상순,7,중순,2020-07-13,1989,1989,1969,1978,1334.603,1671,2020-07-10,7,상순,7,중순,2020-07-13
2020-07-13,1202,대파,34.197,8.991,1202,1813,1758,1650,1448,1564,1351,하락심각,63,1,하락심각,1,1,하락심각,1,2020-07-11,7,상순,7,중순,2020-07-13,3735,3747.717,3766,3788,4471.218,4169,2020-07-10,7,상순,7,중순,2020-07-13
2020-09-05,1101,무,34.012,-5.268,1101,2237.9,2361.7,2355.8,2334,1205.6,1670,상승경계,2,6,상승경계,6,1,상승경계,6,2020-09-04,8,하순,9,상순,2020-09-05,3510,3577.933,3382,2944,1798.449,2536,2020-09-03,8,하순,9,상순,2020-09-04
2020-09-05,1207,건고추,75.685,-1.376,1207,18020,18113,18268,16460,9400,10257,상승심각,18,7,상승심각,7,1,상승심각,7,2020-09-03,8,하순,9,상순,2020-09-04,21680,21664.167,21704,18205,13777.81,12356,2020-09-03,8,하순,9,상순,2020-09-04
2020-09-05,1209,마늘,11.488,0,12A9,6900,6900,6900,6874,3966.65,6189,상승주의,4,5,상승주의,5,1,상승주의,5,2020-09-03,8,하순,9,상순,2020-09-04,10326,10194.222,10292,10037,7114.952,9562,2020-09-03,8,하순,9,상순,2020-09-04
2020-09-05,1209,마늘,-15.552,-1.613,1209,4431.4,4480.4,4502.9,4475,3320,5247,,0,,,,0,,,2020-09-03,8,하순,9,상순,2020-09-04,0,0,0,0,0,0,2020-09-03,,,,,2020-09-04
2020-09-05,1201,양파,14.672,-1.906,1201,1102,1102,1123,1009,496,961,안정,36,4,안정,4,1,안정,4,2020-09-04,8,하순,9,상순,2020-09-05,2124,2109.5,2115,2064,1329.175,1731,2020-09-03,8,하순,9,상순,2020-09-04
2020-09-05,1202,대파,8.493,-82.626,1202,1980,2713,3616,2312,1732,1825,하락심각,109,1,하락심각,1,1,하락심각,1,2020-09-04,8,하순,9,상순,2020-09-05,5991,6039.767,5842,5723,3875.577,4566,2020-09-03,8,하순,9,상순,2020-09-04
2020-09-06,1001,배추,27.674,-4.739,1001,5549.667,6596.667,5812.667,6206,3951.667,4347,상승경계,1,6,상승심각,7,1,상승경계,6,2020-09-04,8,하순,9,상순,2020-09-05,9348,9621.468,9067,9175,4477.529,6144,2020-09-03,8,하순,9,상순,2020-09-04
2020-09-06,1101,무,34.012,-5.268,1101,2237.9,2361.7,2355.8,2334,1205.6,1670,상승경계,2,6,상승경계,6,1,상승경계,6,2020-09-04,8,하순,9,상순,2020-09-05,3510,3577.933,3382,2944,1798.449,2536,2020-09-03,8,하순,9,상순,2020-09-04
2020-09-06,1207,건고추,75.685,-1.376,1207,18020,18113,18268,16460,9400,10257,상승심각,18,7,상승심각,7,1,상승심각,7,2020-09-03,8,하순,9,상순,2020-09-04,21680,21664.167,21704,18205,13777.81,12356,2020-09-03,8,하순,9,상순,2020-09-04
2020-09-06,1209,마늘,11.488,0,12A9,6900,6900,6900,6874,3966.65,6189,상승주의,4,5,상승주의,5,1,상승주의,5,2020-09-03,8,하순,9,상순,2020-09-04,10326,10194.222,10292,10037,7114.952,9562,2020-09-03,8,하순,9,상순,2020-09-04
2020-09-06,1209,마늘,-15.552,-1.613,1209,4431.4,4480.4,4502.9,4475,3320,5247,,0,,,,0,,,2020-09-03,8,하순,9,상순,2020-09-04,0,0,0,0,0,0,2020-09-03,,,,,2020-09-04
2020-09-06,1201,양파,14.672,-1.906,1201,1102,1102,1123,1009,496,961,안정,36,4,안정,4,1,안정,4,2020-09-04,8,하순,9,상순,2020-09-05,2124,2109.5,2115,2064,1329.175,1731,2020-09-03,8,하순,9,상순,2020-09-04
2020-09-06,1202,대파,8.493,-82.626,1202,1980,2713,3616,2312,1732,1825,하락심각,109,1,하락심각,1,1,하락심각,1,2020-09-04,8,하순,9,상순,2020-09-05,5991,6039.767,5842,5723,3875.577,4566,2020-09-03,8,하순,9,상순,2020-09-04
2020-09-07,1001,배추,69.381,24.631,1001,7363.333,6596.667,5549.667,6206,3951.667,4347,상승심각,1,7,상승심각,7,1,상승경계,6,2020-09-05,8,하순,9,상순,2020-09-07,9657,9621.468,9348,9175,4477.529,6144,2020-09-04,8,하순,9,상순,2020-09-07
2020-09-07,1101,무,55.449,13.798,1101,2596.1,2361.7,2237.9,2334,1205.6,1670,상승심각,1,7,상승경계,6,1,상승경계,6,2020-09-05,8,하순,9,상순,2020-09-07,3552,3577.933,3510,2944,1798.449,2536,2020-09-04,8,하순,9,상순,2020-09-07
2020-09-07,1207,건고추,75.685,-1.376,1207,18020,18113,18268,16460,9400,10257,상승심각,18,7,상승심각,7,1,상승심각,7,2020-09-03,8,하순,9,상순,2020-09-04,21680,21664.167,21704,18205,13777.81,12356,2020-09-03,8,하순,9,상순,2020-09-04
2020-09-07,1209,마늘,11.488,0,12A9,6900,6900,6900,6874,3966.65,6189,상승주의,4,5,상승주의,5,1,상승주의,5,2020-09-03,8,하순,9,상순,2020-09-04,10326,10194.222,10292,10037,7114.952,9562,2020-09-03,8,하순,9,상순,2020-09-04
2020-09-07,1209,마늘,-15.552,-1.613,1209,4431.4,4480.4,4502.9,4475,3320,5247,,0,,,,0,,,2020-09-03,8,하순,9,상순,2020-09-04,0,0,0,0,0,0,2020-09-03,,,,,2020-09-04
2020-09-07,1201,양파,14.152,-0.456,1201,1097,1102,1102,1009,496,961,안정,37,4,안정,4,1,안정,4,2020-09-05,8,하순,9,상순,2020-09-07,2145,2109.5,2124,2064,1329.175,1731,2020-09-04,8,하순,9,상순,2020-09-07
2020-09-07,1202,대파,106.959,47.577,1202,3777,2713,1980,2312,1732,1825,하락심각,110,1,하락심각,1,1,하락심각,1,2020-09-05,8,하순,9,상순,2020-09-07,6051,6039.767,5991,5723,3875.577,4566,2020-09-04,8,하순,9,상순,2020-09-07
2020-09-08,1001,배추,98.597,14.71,1001,8633.333,6596.667,7363.333,6206,3951.667,4347,상승심각,2,7,상승심각,7,1,상승경계,6,2020-09-07,8,하순,9,상순,2020-09-08,9738,9621.468,9657,9175,4477.529,6144,2020-09-07,8,하순,9,상순,2020-09-08
2020-09-08,1101,무,49.281,-4.119,1101,2493.4,2361.7,2596.1,2334,1205.6,1670,상승경계,1,6,상승경계,6,1,상승경계,6,2020-09-07,8,하순,9,상순,2020-09-08,3703,3577.933,3552,2944,1798.449,2536,2020-09-07,8,하순,9,상순,2020-09-08
2020-09-08,1207,건고추,75.685,0,1207,18020,18113,18020,16460,9400,10257,상승심각,19,7,상승심각,7,1,상승심각,7,2020-09-04,8,하순,9,상순,2020-09-07,21720,21664.167,21680,18205,13777.81,12356,2020-09-04,8,하순,9,상순,2020-09-07
2020-09-08,1209,마늘,11.488,0,12A9,6900,6900,6900,6874,3966.65,6189,상승주의,5,5,상승주의,5,1,상승주의,5,2020-09-04,8,하순,9,상순,2020-09-07,10222,10194.222,10326,10037,7114.952,9562,2020-09-04,8,하순,9,상순,2020-09-07
2020-09-08,1209,마늘,-15.552,0,1209,4431.4,4480.4,4431.4,4475,3320,5247,,0,,,,0,,,2020-09-04,8,하순,9,상순,2020-09-07,0,0,0,0,0,0,2020-09-04,,,,,2020-09-07
2020-10-29,1201,양파,30.332,0.247,1201,1216,1221,1213,1169,523,933,안정,79,4,안정,4,1,안정,4,2020-10-28,10,중순,10,하순,2020-10-29,2379,2392,2379,2370,1308.19,1825,2020-10-28,10,중순,10,하순,2020-10-29
2020-10-29,1202,대파,72.8,2.901,1202,2827,2777,2745,2531,1577,1636,하락심각,152,1,하락심각,1,1,하락심각,1,2020-10-28,10,중순,10,하순,2020-10-29,4759,4724,4727,4894,4303.266,4010,2020-10-28,10,중순,10,하순,2020-10-29
2020-10-30,1001,배추,7.389,-3.365,1001,1773,2000,1832.667,2735,3182.333,1651,하락주의,2,3,안정,4,1,안정,4,2020-10-29,10,중순,10,하순,2020-10-30,4387,4999,4635,7704,5791.005,3432,2020-10-29,10,중순,10,하순,2020-10-30
2020-10-30,1101,무,-14.321,-2.373,1101,1040.7,1130.4,1065.4,1475,2009.5,1215,안정,12,4,안정,4,1,안정,4,2020-10-29,10,중순,10,하순,2020-10-30,2545,2759,2604,3291,2861.883,2257,2020-10-29,10,중순,10,하순,2020-10-30
2020-10-30,1207,건고추,72.21,1.203,1207,16620,16395,16420,16141,8622.22,9651,상승심각,53,7,상승심각,7,1,상승심각,7,2020-10-28,10,중순,10,하순,2020-10-29,21359,21338,21359,21393,12537.432,13305,2020-10-28,10,중순,10,하순,2020-10-29
2020-10-30,1209,마늘,7.816,0,12A9,6883.35,6883.35,6883.35,6883,4037.95,6384,상승주의,39,5,상승주의,5,1,상승주의,5,2020-10-28,10,중순,10,하순,2020-10-29,10313,10307,10313,10274,7167.832,9463,2020-10-28,10,중순,10,하순,2020-10-29
2020-10-30,1209,마늘,-10.427,1.221,1209,4914,4869,4854,4831,3320,5486,,0,,,,0,,,2020-10-28,10,중순,10,하순,2020-10-29,0,0,0,0,0,0,2020-10-28,,,,,2020-10-29
2020-10-30,1201,양파,34.62,3.185,1201,1256,1221,1216,1169,523,933,안정,80,4,안정,4,1,안정,4,2020-10-29,10,중순,10,하순,2020-10-30,2382,2392,2379,2370,1308.19,1825,2020-10-29,10,중순,10,하순,2020-10-30
2020-10-30,1202,대파,77.2,2.484,1202,2899,2777,2827,2531,1577,1636,하락심각,153,1,하락심각,1,1,하락심각,1,2020-10-29,10,중순,10,하순,2020-10-30,4747,4724,4759,4894,4303.266,4010,2020-10-29,10,중순,10,하순,2020-10-30
2020-10-31,1001,배추,0.303,-7.044,1001,1656.333,2000,1773,2735,3182.333,1651,하락경계,1,2,안정,4,1,안정,4,2020-10-30,10,중순,10,하순,2020-10-31,4387,4999,4635,7704,5791.005,3432,2020-10-29,10,중순,10,하순,2020-10-30
2020-10-31,1101,무,-22.716,-10.878,1101,938.6,1130.4,1040.7,1475,2009.5,1215,하락주의,1,3,안정,4,1,안정,4,2020-10-30,10,중순,10,하순,2020-10-31,2545,2759,2604,3291,2861.883,2257,2020-10-29,10,중순,10,하순,2020-10-30
2020-10-31,1207,건고추,72.21,0,1207,16620,16395,16620,16141,8622.22,9651,상승심각,54,7,상승심각,7,1,상승심각,7,2020-10-29,10,중순,10,하순,2020-10-30,21359,21338,21359,21393,12537.432,13305,2020-10-29,10,중순,10,하순,2020-10-30
2020-10-31,1209,마늘,7.816,0,12A9,6883.35,6883.35,6883.35,6883,4037.95,6384,상승주의,40,5,상승주의,5,1,상승주의,5,2020-10-29,10,중순,10,하순,2020-10-30,10046,10307,10313,10274,7167.832,9463,2020-10-29,10,중순,10,하순,2020-10-30
2020-10-31,1209,마늘,-10.427,0,1209,4914,4869,4914,4831,3320,5486,,0,,,,0,,,2020-10-29,10,중순,10,하순,2020-10-30,0,0,0,0,0,0,2020-10-29,,,,,2020-10-30
2020-10-31,1201,양파,37.835,2.333,1201,1286,1221,1256,1169,523,933,안정,81,4,안정,4,1,안정,4,2020-10-30,10,중순,10,하순,2020-10-31,2382,2392,2379,2370,1308.19,1825,2020-10-29,10,중순,10,하순,2020-10-30
2020-10-31,1202,대파,63.325,-8.496,1202,2672,2777,2899,2531,1577,1636,하락심각,154,1,하락심각,1,1,하락심각,1,2020-10-30,10,중순,10,하순,2020-10-31,4747,4724,4759,4894,4303.266,4010,2020-10-29,10,중순,10,하순,2020-10-30
2020-11-01,1001,배추,-7.123,-7.044,1001,1656.333,1919,1773,2000,2790,1783,하락경계,1,2,안정,4,1,안정,4,2020-10-30,10,하순,11,상순,2020-10-31,4387,3700,4635,4999,4798.228,3035,2020-10-29,10,하순,11,상순,2020-10-30
2020-11-01,1101,무,-4.767,-10.878,1101,938.6,1149.7,1040.7,1130,1868.8,986,하락주의,1,3,안정,4,1,안정,4,2020-10-30,10,하순,11,상순,2020-10-31,2545,2236,2604,2759,2740.84,1983,2020-10-29,10,하순,11,상순,2020-10-30
2020-11-01,1207,건고추,73.868,0,1207,16620,16611.34,16620,16395,8640,9559,상승심각,54,7,상승심각,7,1,상승심각,7,2020-10-29,10,하순,11,상순,2020-10-30,21359,21313,21359,21338,12434.961,13239,2020-10-29,10,하순,11,상순,2020-10-30
2020-11-01,1209,마늘,6.73,0,12A9,6883.35,6883.35,6883.35,6883,4100,6449,상승주의,40,5,상승주의,5,1,상승주의,5,2020-10-29,10,하순,11,상순,2020-10-30,10046,10159,10313,10307,7210,9425,2020-10-29,10,하순,11,상순,2020-10-30
2020-11-01,1209,마늘,-10.573,0,1209,4914,4914,4914,4869,3320,5495,,0,,,,0,,,2020-10-29,10,하순,11,상순,2020-10-30,0,0,0,0,0,0,2020-10-29,,,,,2020-10-30
2020-11-01,1201,양파,31.224,2.333,1201,1286,1283,1256,1221,530,980,안정,81,4,안정,4,1,안정,4,2020-10-30,10,하순,11,상순,2020-10-31,2382,2360,2379,2392,1338.864,1819,2020-10-29,10,하순,11,상순,2020-10-30
2020-11-01,1202,대파,64.938,-8.496,1202,2672,2771,2899,2777,1468,1620,하락심각,154,1,하락심각,1,1,하락심각,1,2020-10-30,10,하순,11,상순,2020-10-31,4747,5016,4759,4724,4195.272,3809,2020-10-29,10,하순,11,상순,2020-10-30
2020-11-02,1001,배추,5.552,11.991,1001,1882,1919,1656.333,2000,2790,1783,안정,1,4,안정,4,1,안정,4,2020-10-31,10,하순,11,상순,2020-11-02,4283,3700,4387,4999,4798.228,3035,2020-10-30,10,하순,11,상순,2020-11-02
